48;63;65
48;107;935
62;63;319
62;96;332
62;107;1596
62;155;627
63;48;36
63;62;297
63;96;175
63;102;471
63;107;3710
63;116;14
63;117;27
63;155;180
96;62;392
96;63;193
96;107;318
96;155;350
98;117;1302
102;63;586
102;117;3199
102;144;24
106;36;96
106;107;995
106;127;134
107;36;3
107;36;1695
107;48;1035
107;62;1592
107;63;44
107;63;3312
107;96;368
107;106;975
107;116;32
107;127;301
107;155;144
116;36;677
116;107;3
117;36;230
117;63;47
117;98;1226
117;102;3235
117;144;1195
127;36;893
127;106;167
127;107;323
144;36;669
144;63;39
144;102;8
144;117;1231
155;62;709
155;63;184
155;96;360
155;107;144
36;61;18
36;106;73
36;107;1674
36;116;1035
36;127;919
36;144;1092
36;155;1046
48;63;8
48;107;1394
62;63;503
62;96;435
62;107;1793
62;155;494
63;48;10
63;62;469
63;96;188
63;107;4329
63;155;58
96;62;397
96;63;232
96;107;290
96;155;262
98;117;1280
102;117;2429
106;36;46
106;107;57
106;107;923
106;127;216
107;36;1708
107;48;1318
107;61;103
107;62;1741
107;63;4002
107;96;313
107;106;978
107;127;398
107;155;158
116;36;1097
117;98;1390
117;102;2384
117;144;1195
127;36;989
127;61;23
127;106;245
127;107;311
144;36;954
144;117;1274
155;36;1145
155;62;503
155;63;80
155;96;235
155;107;144
32;115;182
36;36;58
36;106;114
36;107;1723
36;116;1302
36;117;62
36;127;1166
36;144;1214
36;155;1139
48;63;22
48;107;46
48;107;1427
54;115;232
62;36;17
62;63;687
62;96;310
62;107;33
62;107;1768
62;115;5
62;155;542
63;48;20
63;62;600
63;96;139
63;107;4559
63;155;60
86;115;99
96;62;285
96;63;198
96;107;255
96;115;2
96;155;222
98;117;1521
102;117;2923
106;36;123
106;107;1202
106;127;377
107;32;8
107;36;74
107;36;1764
107;48;22
107;48;1476
107;62;39
107;62;1848
107;63;56
107;63;4385
107;96;272
107;106;1147
107;107;65
107;115;536
107;127;413
107;155;154
115;32;132
115;54;259
115;62;9
115;86;114
115;107;579
116;36;1283
116;107;50
117;98;1546
117;102;2670
117;144;1391
127;36;1057
127;106;410
127;107;491
144;36;1111
144;117;1432
155;36;1138
155;62;511
155;63;82
155;96;196
155;107;148
28;115;53
32;54;43
32;63;728
32;115;1047
34;55;6
34;66;45
34;67;73
36;106;15
36;107;92
36;107;1345
36;116;1251
36;127;827
36;144;1228
36;155;1503
48;63;5
48;107;34
48;107;576
54;115;2002
55;34;6
55;66;15
55;67;104
55;113;2
55;124;141
55;157;171
62;63;121
62;96;564
62;107;54
62;107;1889
62;115;82
63;32;695
63;48;13
63;54;34
63;62;170
63;107;50
63;107;2853
66;34;40
66;55;29
66;67;1
66;113;6
67;34;64
67;55;89
86;107;1
86;115;914
96;32;18
96;62;57
96;62;757
96;63;3
96;107;22
96;107;311
96;115;66
98;98;36
98;117;24
98;117;1230
102;102;34
102;117;19
102;117;2249
106;36;8
106;107;62
106;107;974
106;127;241
107;32;3
107;36;30
107;36;1150
107;48;55
107;48;653
107;61;32
107;62;1706
107;63;39
107;63;2968
107;96;525
107;106;75
107;106;878
107;115;2916
107;127;29
107;127;257
107;143;50
113;34;2
113;55;16
113;66;10
115;28;38
115;32;1039
115;54;1953
115;62;128
115;86;894
115;96;128
115;107;2950
116;36;1326
117;98;1144
117;102;2177
117;117;48
117;144;1194
124;55;137
127;36;50
127;36;749
127;61;23
127;106;270
127;107;215
144;36;1143
144;117;1293
155;36;1521
157;55;151
28;115;825
32;115;928
34;55;4
34;66;54
34;67;41
36;106;99
36;107;1540
36;116;50
36;116;1307
36;127;933
36;144;1267
36;155;1644
48;107;84
54;115;2215
55;34;5
55;66;48
55;67;34
55;113;1
55;124;70
55;157;136
62;36;23
62;96;455
62;107;201
62;107;1448
62;115;42
63;62;47
63;107;1967
66;34;31
66;55;17
66;67;36
66;113;7
67;34;30
67;55;68
83;115;416
86;115;794
96;62;246
96;62;392
96;107;146
96;107;238
96;115;34
98;117;1201
102;117;2157
106;36;36
106;107;1039
106;127;388
107;36;10
107;36;1547
107;48;17
107;48;52
107;62;43
107;62;1530
107;63;1727
107;96;498
107;106;1117
107;115;79
107;115;2792
107;127;114
113;34;2
113;55;1
113;66;10
115;28;765
115;32;971
115;54;2179
115;62;170
115;83;565
115;86;803
115;96;76
115;107;52
115;107;3110
116;36;1448
117;98;1250
117;102;2068
117;144;1085
124;55;85
127;36;955
127;106;419
127;107;129
144;36;1034
144;117;1382
155;36;1669
157;55;166
